office_name,office_detail_url,location,Sales,Rent,Phone_Number
Versatie Gayrimenkul,https://www.zingat.com//en/versatie-gayrimenkul-2-12042g,"İstanbul, Akat",422,185,0 (532) 213 50 49
RE/MAX  Beta,https://www.zingat.com//en/century-21-beta-7611g,"İstanbul, Atatürk",207,185,0 (532) 567 42 86
Nazar Emlak,https://www.zingat.com//en/nazar-emlak-3-24841g,"Antalya, Şekerhane",193,185,0 (532) 637 68 87
Pikan Gayrimenkul,https://www.zingat.com//en/pikan-gayrimenkul-29398g,"Muğla, Beşköprü",188,185,0 (532) 294 92 67
TAHSİN UĞUR - VİLLAMARİNE EMLAK VE GAYRİMENKUL DANIŞMANLIĞI,https://www.zingat.com//en/tahsin-ugur-villamarine-emlak-ve-gayrimenkul-danismanligi-38156g,"Aydın, Camikebir",181,185,0 (541) 204 41 20
DEVKON YAPI GAYRİMENKUL,https://www.zingat.com//en/devkon-yapi-gayrimenkul-56686g,"İstanbul, Adnan Kahveci",183,185,0 (533) 961 70 20
Paşa Emlak,https://www.zingat.com//en/pasa-emlak-3-29838g,"Muğla, Merkez",178,185,0 (544) 692 45 50
KAÇMAZ EMLAK TRABZON,https://www.zingat.com//en/kacmaz-emlak-trabzon-29736g,"Trabzon, Kemerkaya",122,185,0 (532) 562 01 35
Compass Estate - Pusula Emlak,https://www.zingat.com//en/compass-estate-pusula-emlak-30341g,"Muğla, Kemeraltı",116,185,0 (535) 289 38 95
REMAX OLUŞUM,https://www.zingat.com//en/remax-olusum-11853g,"İstanbul, Güneşli",106,185,0 (507) 980 88 23
DEEP GAYRİMENKUL,https://www.zingat.com//en/deep-gayrimenkul-24866g,"Mersin, Viranşehir",89,185,0 (552) 503 66 66
Monte Gayrimenkul,https://www.zingat.com//en/monte-gayrimenkul-60191g,"Denizli, Adalet",114,185,0 (532) 412 77 33
TOPRAKYA,https://www.zingat.com//en/toprakya-46786g,"İstanbul, Piri Mehmet Paşa",0,0,0 (532) 222 22 26
Turnkey Properties Emlak ve Yatırım Danışmanlığı,https://www.zingat.com//en/turnkey-properties-emlak-ve-yatirim-danismanligi-20039g,"Muğla, Meşelik",96,0,0 (507) 467 24 00
Coldwell Banker Power,https://www.zingat.com//en/coldwell-banker-6-22423g,"İstanbul, Etiler",79,0,0 (505) 600 75 70
COLDWELL BANKER SAFRAN GAYRİMENKUL,https://www.zingat.com//en/coldwell-banker-safran-gayrimenkul-39076g,"Yalova, Gazi Osman Paşa",82,0,0 (543) 503 07 75
AYDIN EMLAK HEYKEL,https://www.zingat.com//en/aydin-emlak-heykel-16003g,"Bursa, Alacamescit",80,0,0 (532) 234 71 25
AKYAR EMLAK,https://www.zingat.com//en/akyar-emlak-2-37420g,"Kahramanmaraş, Akif İnan",84,0,0 (535) 108 50 50
REALTY WORLD APEX,https://www.zingat.com//en/realty-world-apex-37483g,"Antalya, Uncalı",69,0,0 (533) 358 68 85
AKTİF EMLAK AKÇAY/ ŞADİTAŞTAN,https://www.zingat.com//en/aktif-emlak-akcay-saditastan-12426g,"Balıkesir, İkizçay",85,0,0 (505) 050 52 09
KARAKAYA GAYRİMENKUL,https://www.zingat.com//en/karakaya-gayrimenkul-2-27415g,"Kocaeli, Cami",76,0,0 (532) 521 73 37
BATI GAYRİMENKUL,https://www.zingat.com//en/bati-gayrimenkul-4-19985g,"Aydın, Çamlık",88,0,0 (544) 788 66 25
YILMAZER INSAAT EMLAK,https://www.zingat.com//en/yilmazer-insaat-emlak-39219g,"Ankara, Feridun Çelik",85,0,0 (545) 373 50 50
Adıyaman İnceler Emlak,https://www.zingat.com//en/adiyaman-inceler-emlak-12907g,"Adıyaman, Turgut Reis",71,0,0 (532) 332 40 10
REALTY WORLD ÖRNEK GAYRİMENKUL,https://www.zingat.com//en/realty-world-ornek-gayrimenkul-2-74326g,"İstanbul, Örnek",84,0,0 (532) 790 76 78
Hak Emlak,https://www.zingat.com//en/hak-emlak-3-33281g,"Düzce, Camikebir",74,0,0 (532) 133 73 94
ALTIN EMLAK GÜNEŞLİ BULVAR,https://www.zingat.com//en/altin-emlak-gunesli-bulvar-16179g,"İstanbul, Güneşli",65,0,0 (533) 769 33 33
KÖSEDAĞ İNŞAAT,https://www.zingat.com//en/kosedag-insaat-59221g,"İstanbul, İsmetpaşa",83,0,0 (537) 436 58 48
AYVALIK ANIL EMLAK,https://www.zingat.com//en/ayvalik-anil-emlak-38041g,"Balıkesir, Küçükköy",76,0,0 (544) 824 31 29
ÇEŞME ATİLLA EMLAK,https://www.zingat.com//en/cesme-atilla-emlak-2-20918g,"İzmir, Musalla",53,0,0 (532) 587 60 99
ARMADA GAYRİMENKUL DANIŞMANLIK,https://www.zingat.com//en/armada-gayrimenkul-danismanlik-40064g,"Aydın, Yavansu",51,0,0 (256) 622 04 00
KÖYCÜLER GAYRİMENKUL LİMİTED,https://www.zingat.com//en/koyculer-gayrimenkul-19226g,"İzmir, Aksoy",87,0,0 (532) 256 96 53
Derin Gayrimenkul,https://www.zingat.com//en/derin-gayrimenkul-16712g,"İstanbul, Göktürk Merkez",57,0,0 (531) 436 54 52
Karademir Emlak,https://www.zingat.com//en/karademir-emlak-67063g,"Karaman, Tahsin Ünal",58,0,0 (545) 338 77 70
PERTA EMLAK ÜMİT TAHMAZ,https://www.zingat.com//en/perta-emlak-umit-tahmaz-17734g,"Tekirdağ, 100. Yıl",67,0,0 (535) 231 11 96
REMAX GOLD,https://www.zingat.com//en/remax-gold-44426g,"İstanbul, Yenişehir",46,0,0 (532) 642 31 40
A CLASS GAYRİNENKUL,https://www.zingat.com//en/a-class-gayrinenkul-26803g,"Aydın, Cumhuriyet",0,0,0 (544) 431 63 74
Apollo İnşaat Gayrimenkul Danışmanlığı,https://www.zingat.com//en/apollo-insaat-gayrimenkul-danismanligi-33712g,"Aydın, Hisar",80,0,0 (536) 738 77 77
KORU GAYRİMENKUL DANIŞMANLIK,https://www.zingat.com//en/koru-gayrimenkul-danismanlik-83285g,"İstanbul, Şifa",57,0,0 (530) 991 95 17
Gezgen İnsaat Güzelyurt,https://www.zingat.com//en/gezgen-insaat-guzelyurt-19616g,"İstanbul, Güzelyurt",54,0,0 (534) 290 13 37
TAHİR EMLAK,https://www.zingat.com//en/tahir-emlak-2-78500g,"İzmir, Çukuraltı",30,0,0 (505) 013 61 54
TÜRKYAPI GAYRİMENKUL,https://www.zingat.com//en/turkyapi-gayrimenkul-77175g,"Çanakkale, İsmetpaşa",0,0,0 (539) 414 54 04
Uzmanlar İnşaat Gayrimenkul,https://www.zingat.com//en/uzmanlar-gayrimenkul-22204g,"Ankara, Süvari",45,0,0 (505) 255 36 60
EGE EMLAK - ÇEŞME,https://www.zingat.com//en/ege-emlak-cesme-17057g,"İzmir, Alaçatı",24,0,0 (532) 645 05 60
Dilekoğlu Gayrimenkul,https://www.zingat.com//en/dilekoglu-gayrimenkul-2-49724g,"İstanbul, Demirkapı",40,0,0 (554) 197 37 39
EvRE EMLAK LTD.ŞTİ.,https://www.zingat.com//en/evre-emlak-ltd-sti-49763g,"Balıkesir, 150 Evler",41,0,0 (536) 419 25 24
Nezih Gayrimenkul Varlık Yönetimi,https://www.zingat.com//en/nezih-gayrimenkul-varlik-yonetimi-18647g,"İstanbul, Esentepe",16,0,0 (544) 800 19 00
COLDWELL BANKER KARİA,https://www.zingat.com//en/coldwell-banker-karia-70148g,"Muğla, Ortakentyahşi",33,0,0 (532) 225 76 82
Realty World Mozaik Gayrimenkul,https://www.zingat.com//en/realty-world-mozaik-gayrimenkul-3856g,"İstanbul, Asmalı Mescit",34,5,0 (212) 251 55 55
ARTI YAPI PREFABRİK KONTEYNER SANAYİ,https://www.zingat.com//en/arti-yapi-prefabrik-konteyner-sanayi-57630g,"Kocaeli, Balçık",36,5,0 (539) 863 92 67
ZMK YAPI,https://www.zingat.com//en/zmk-yapi-58741g,"İstanbul, Akevler",38,5,0 (533) 462 00 82
SECTOR11 TURKEY,https://www.zingat.com//en/sector11-turkey-35445g,"Konya, Nişantaş",39,5,0 (530) 646 81 11
SULTANLAR GAYRİMENKUL,https://www.zingat.com//en/sultanlar-gayrimenkul-27597g,"Kocaeli, Dalca",34,5,0 (532) 357 29 70
USM YAPI & İNŞAAT,https://www.zingat.com//en/usm-yapi-insaat-74551g,"Balıkesir, Altınoluk",34,5,0 (538) 669 49 52
MULTİÇÖZÜM GAYRİMENKUL DANIŞMANLIK  HİZMETLERİ,https://www.zingat.com//en/cozum-gayrimenkul-4808g,"İstanbul, Zafer",29,5,0 (542) 728 80 84
La Rocca Emlak,https://www.zingat.com//en/la-rocca-emlak-39984g,"Muğla, Kemeraltı",36,5,0 (532) 511 17 15
Emin Gayrimenkul,https://www.zingat.com//en/emin-gayrimenkul-2-37515g,"Manisa, Hürriyet",35,5,0 (532) 060 85 79
YURT GAYRİMENKUL  YATIRIM BİLİŞİM A.Ş,https://www.zingat.com//en/yurt-gayrimenkul-yatirim-bilisim-a-s-16032g,"İstanbul, Çobançeşme",28,5,0 (534) 453 65 95
ÜNLÜ EMLAK OFİSİ,https://www.zingat.com//en/unlu-emlak-ofisi-2-67251g,"Kastamonu, Cebrail",28,5,0 (541) 542 83 37
İNCESU EMLAK,https://www.zingat.com//en/incesu-emlak-38028g,"Ankara, Seyranbağları",28,5,0 (535) 862 23 37
HEP İSTANBUL EMLAK,https://www.zingat.com//en/hep-istanbul-emlak-70776g,"İstanbul, Zafer",27,7,0 (532) 520 00 05
Verim Emlak,https://www.zingat.com//en/verim-emlak-22323g,"İzmir, Mersin Alanı",32,7,0 (544) 742 22 85
Prores Gayrimenkul Danışmanlığı,https://www.zingat.com//en/prores-gayrimenkul-danismanligi-60812g,"İstanbul, Kurtköy",19,7,0 (530) 238 36 60
REMAX NET,https://www.zingat.com//en/remax-net-77998g,"Antalya, Çağlayan",27,7,0 (533) 490 12 81
SONGÜL GAYRİMENKUL®️,https://www.zingat.com//en/songul-gayrimenkul-r-18942g,"İstanbul, Yenişehir",24,7,0 (532) 631 20 41
DURSUNOĞLU İNŞAAT & GAYRİMENKUL,https://www.zingat.com//en/dursunoglu-insaat-gayrimenkul-2-20426g,"İstanbul, Yenidoğan",25,7,0 (532) 355 52 81
KALAMAR EMLAK,https://www.zingat.com//en/kalamar-emlak-47199g,"Adana, Huzurevleri",32,7,0 (552) 312 94 67
Site Emlak,https://www.zingat.com//en/site-emlak-4392g,"İstanbul, Atakent",24,7,0 (555) 250 30 55
HSM İNŞAAT,https://www.zingat.com//en/hsm-insaat-2-24302g,"Aydın, Efeler",30,7,0 (539) 665 41 13
